id;output
2200;0.0
4627;1.0
3225;0.0
2828;0.0
3768;0.0
4446;0.0
2234;1.0
5454;0.0
1278;0.0
578;1.0
5960;0.0
521;0.0
217;1.0
5716;0.0
202;0.0
134;1.0
154;0.0
4486;1.0
3283;1.0
3731;0.0
2572;1.0
4296;0.0
2838;0.0
3711;1.0
2425;0.0
5721;1.0
6429;0.0
5458;0.0
5549;1.0
6258;0.0
4481;0.0
779;0.0
4120;0.0
6533;0.0
4559;0.0
1564;1.0
693;0.0
3028;1.0
4346;0.0
6556;0.0
526;1.0
502;0.0
4743;1.0
3112;1.0
295;1.0
4003;1.0
6790;1.0
1726;0.0
530;0.0
4188;0.0
5022;0.0
2716;0.0
1220;0.0
2938;1.0
4098;0.0
1922;0.0
5098;0.0
4154;1.0
2188;0.0
6760;1.0
2913;1.0
6174;1.0
5197;1.0
641;1.0
224;0.0
2162;1.0
3370;0.0
6038;0.0
6114;0.0
979;1.0
4185;0.0
5830;0.0
6951;0.0
509;0.0
3302;0.0
2568;1.0
6471;0.0
3883;0.0
5895;0.0
548;0.0
4234;0.0
574;0.0
1422;1.0
4339;0.0
4324;1.0
1043;0.0
144;0.0
6355;1.0
2625;0.0
4265;1.0
2641;1.0
6906;0.0
1585;1.0
4909;1.0
4411;0.0
3895;1.0
451;1.0
1414;1.0
2031;0.0
2894;1.0
3424;1.0
3884;0.0
6882;1.0
3261;1.0
2240;0.0
4123;0.0
5430;1.0
4018;1.0
2657;1.0
4397;0.0
7025;0.0
1656;0.0
5904;1.0
6988;1.0
6053;0.0
5639;0.0
38;0.0
1386;0.0
1700;0.0
2652;1.0
3733;0.0
1411;1.0
1952;0.0
4752;1.0
5777;1.0
558;0.0
4551;1.0
5769;1.0
5912;1.0
296;0.0
444;0.0
1140;0.0
812;1.0
2531;0.0
6311;1.0
2915;1.0
6941;0.0
4601;0.0
5384;0.0
4672;1.0
3055;1.0
1601;0.0
4382;0.0
6247;0.0
6063;0.0
4001;1.0
5180;0.0
3638;0.0
3788;0.0
3965;0.0
1633;1.0
6555;0.0
1870;0.0
42;0.0
3598;1.0
1456;0.0
1979;0.0
464;1.0
3567;1.0
2242;0.0
5216;1.0
244;0.0
2796;0.0
2931;0.0
3855;1.0
3964;0.0
2249;0.0
4357;1.0
6271;0.0
4619;0.0
6792;0.0
1829;0.0
6017;0.0
2372;0.0
4282;1.0
6543;0.0
4088;0.0
3804;1.0
5571;1.0
751;0.0
4676;0.0
3634;1.0
5609;1.0
3200;1.0
119;1.0
5768;0.0
634;1.0
6256;0.0
6856;1.0
4194;1.0
1290;0.0
6838;0.0
3847;1.0
4493;1.0
1460;0.0
6890;0.0
5152;1.0
4579;0.0
5232;1.0
1433;1.0
2190;0.0
3699;0.0
1712;1.0
2029;0.0
1778;0.0
44;0.0
841;0.0
1859;0.0
2734;0.0
5176;1.0
495;0.0
3235;0.0
1082;0.0
4685;0.0
2004;0.0
2137;0.0
874;0.0
4276;0.0
4113;1.0
2976;0.0
6377;0.0
2696;1.0
394;1.0
4015;0.0
635;1.0
5791;1.0
5023;1.0
6507;0.0
6837;1.0
5287;1.0
3343;1.0
462;0.0
1702;0.0
6715;1.0
147;0.0
882;1.0
3503;1.0
6214;0.0
5439;1.0
5748;1.0
6345;0.0
6323;1.0
3180;1.0
4574;0.0
4410;0.0
4359;0.0
5087;1.0
1238;0.0
3725;0.0
4096;0.0
4991;0.0
2686;0.0
1362;1.0
834;1.0
1771;0.0
3194;0.0
5004;0.0
2525;0.0
1819;1.0
311;0.0
2401;0.0
6234;1.0
864;0.0
6339;0.0
6844;0.0
4266;0.0
3732;0.0
3411;0.0
6423;1.0
4761;0.0
2670;0.0
6438;0.0
5992;1.0
4536;1.0
1573;0.0
2384;1.0
313;0.0
2212;0.0
4892;0.0
3124;1.0
3786;0.0
2983;0.0
2017;0.0
3760;0.0
3635;0.0
4687;0.0
2806;1.0
3053;1.0
4996;0.0
4589;0.0
4797;1.0
527;0.0
6613;0.0
4473;0.0
6449;1.0
6477;0.0
1891;0.0
2272;0.0
572;1.0
5591;0.0
532;0.0
5082;0.0
6823;1.0
4568;1.0
1643;1.0
2355;0.0
5560;0.0
6404;0.0
3953;0.0
170;0.0
98;0.0
148;0.0
5486;0.0
6714;0.0
2585;0.0
3710;0.0
2819;1.0
1448;0.0
2178;0.0
4492;0.0
3207;1.0
4799;0.0
2793;1.0
980;0.0
773;0.0
4730;0.0
1881;0.0
4646;0.0
4673;1.0
31;0.0
3443;1.0
1361;1.0
3890;0.0
1022;1.0
318;0.0
4608;0.0
2087;0.0
1515;0.0
5013;0.0
6084;0.0
2122;1.0
1551;0.0
2933;0.0
5254;1.0
3902;1.0
4238;1.0
6958;0.0
3696;0.0
6408;0.0
2898;0.0
